Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,7.658310,7.658310,6.285960,7.207260,6.574013,47781244
2007-04-01,7.197660,7.677510,6.996130,7.485570,6.827871,35986476
2007-05-01,7.495170,7.850250,6.650640,7.773480,7.090484,52686690
2007-06-01,7.917430,8.579610,6.621850,7.658310,6.985433,80726836
2007-07-01,7.821460,9.260990,7.725490,8.013400,7.309324,44161212
2007-08-01,7.965410,9.289780,7.005720,9.021070,8.228457,47242212
2007-09-01,9.021070,9.021070,7.802270,8.022990,7.318072,19457569
2007-10-01,7.869440,7.965410,6.938550,7.044110,6.425198,40985704
2007-11-01,7.015320,7.667910,6.362730,7.226450,6.591517,49244428
2007-12-01,7.284030,7.466370,5.163120,5.758130,5.252207,50257047
2008-01-01,5.662160,6.669830,4.088270,4.692880,4.280552,56850646
2008-02-01,4.788840,6.429910,4.376180,6.305150,5.751165,53148821
2008-03-01,6.324350,6.890560,5.806110,6.861770,6.258879,54013683
2008-04-01,6.900160,8.980000,6.794590,8.650000,7.889991,53682682
2008-05-01,9.000000,10.300000,7.200000,9.900000,9.030163,72684000
2008-06-01,9.640000,10.300000,7.580000,8.100000,7.402405,58096200
2008-07-01,8.050000,9.340000,7.400000,8.400000,7.676569,57305200
2008-08-01,8.340000,8.340000,6.310000,6.630000,6.059006,50621100
2008-09-01,6.730000,6.740000,4.310000,4.740000,4.331777,100981300
2008-10-01,4.810000,5.190000,2.560000,3.950000,3.609815,84573900
2008-11-01,3.990000,5.180000,3.320000,5.050000,4.615080,53437700
2008-12-01,4.720000,6.050000,4.320000,4.930000,4.505414,55125100
2009-01-01,4.930000,5.380000,4.460000,4.800000,4.386610,52942600
2009-02-01,4.670000,4.950000,4.380000,4.610000,4.212974,43889800
2009-03-01,4.520000,5.490000,4.080000,5.250000,4.797855,59943000
2009-04-01,5.110000,6.970000,5.100000,6.160000,5.629483,54926400
2009-05-01,6.160000,6.850000,5.900000,6.730000,6.158844,68608700
2009-06-01,6.740000,8.190000,6.570000,7.030000,6.433384,58278500
2009-07-01,7.070000,7.610000,6.450000,7.410000,6.781134,38507800
2009-08-01,7.420000,7.970000,7.060000,7.820000,7.156339,38657700
2009-09-01,7.680000,9.340000,7.490000,9.220000,8.437525,47384800
2009-10-01,9.220000,10.390000,9.020000,9.770000,8.940848,51237700
2009-11-01,9.770000,11.040000,9.070000,9.600000,8.785275,64308400
2009-12-01,9.750000,10.590000,9.100000,9.490000,8.684610,55942500
2010-01-01,9.320000,10.710000,9.110000,9.340000,8.547340,65985400
2010-02-01,9.400000,9.740000,8.570000,9.080000,8.309406,36149300
2010-03-01,9.250000,9.730000,7.340000,7.950000,7.275306,156644700
2010-04-01,8.020000,8.700000,7.700000,8.170000,7.476635,155560078
2010-05-01,8.200000,8.310000,6.220000,7.250000,6.634713,155881980
2010-06-01,7.110000,8.330000,7.050000,7.640000,7.014330,66207516
2010-07-01,7.700000,8.830000,7.550000,8.600000,7.895713,66888800
2010-08-01,8.700000,8.880000,6.910000,7.450000,6.839890,116508571
2010-09-01,7.450000,7.900000,7.070000,7.310000,6.711356,66339775
2010-10-01,7.330000,7.510000,6.240000,6.540000,6.004414,101342200
2010-11-01,6.560000,6.850000,5.980000,6.550000,6.013595,106157700
2010-12-01,6.600000,7.590000,6.430000,7.170000,6.582821,104513300
2011-01-01,7.220000,7.310000,6.180000,6.300000,5.784069,67513600
2011-02-01,6.330000,6.530000,5.740000,6.240000,5.728981,72028620
2011-03-01,6.240000,6.520000,5.780000,5.890000,5.407645,77162277
2011-04-01,5.870000,5.920000,5.260000,5.370000,4.930230,61891600
2011-05-01,5.320000,5.930000,4.940000,5.660000,5.196481,93302580
2011-06-01,5.590000,5.800000,4.960000,5.380000,4.939411,68143100
2011-07-01,5.400000,5.660000,4.560000,4.580000,4.204927,73139468
2011-08-01,4.760000,4.770000,3.820000,4.270000,3.920313,129926200
2011-09-01,4.350000,4.450000,3.630000,3.630000,3.332725,72688400
2011-10-01,3.610000,5.500000,3.420000,5.490000,5.040402,63359800
2011-11-01,4.800000,6.240000,4.730000,5.950000,5.462732,80705800
2011-12-01,6.100000,7.100000,5.490000,6.080000,5.582084,88062400
2012-01-01,5.960000,6.440000,5.360000,6.390000,5.866698,78892400
2012-02-01,6.420000,7.650000,6.320000,7.300000,6.702175,72522000
2012-03-01,7.370000,8.500000,7.210000,7.500000,6.885796,105788800
2012-04-01,7.540000,8.290000,6.810000,7.500000,6.885796,66706100
2012-05-01,7.500000,7.640000,5.450000,5.450000,5.003678,107683300
2012-06-01,5.500000,6.480000,5.370000,6.030000,5.536180,65260700
2012-07-01,6.000000,6.450000,4.910000,5.360000,4.921049,55685200
2012-08-01,5.400000,6.320000,5.100000,5.840000,5.361740,90280700
2012-09-01,5.840000,6.840000,5.560000,6.720000,6.169673,78750300
2012-10-01,6.760000,6.990000,6.340000,6.570000,6.031957,64770900
2012-11-01,6.570000,6.920000,5.390000,5.410000,4.966953,54426100
2012-12-01,5.480000,6.080000,5.160000,6.000000,5.508636,80653300
2013-01-01,6.000000,7.850000,6.000000,7.630000,7.005149,82476000
2013-02-01,7.600000,7.700000,6.650000,6.860000,6.298209,104582900
2013-03-01,6.800000,7.430000,6.490000,6.820000,6.261484,95396100
2013-04-01,6.740000,6.850000,5.840000,6.380000,5.857517,97606700
2013-05-01,6.380000,7.270000,6.050000,7.100000,6.584078,141997100
2013-06-01,7.050000,7.240000,5.660000,6.480000,6.009130,116132200
2013-07-01,6.170000,6.970000,6.020000,6.370000,5.907124,78420400
2013-08-01,6.500000,7.770000,6.500000,7.360000,6.825185,118994500
2013-09-01,7.450000,8.050000,7.180000,7.750000,7.186845,108700600
2013-10-01,7.810000,8.650000,7.420000,8.030000,7.446499,89252600
2013-11-01,8.100000,8.490000,8.000000,8.400000,7.789613,77581000
2013-12-01,8.350000,8.990000,7.650000,8.770000,8.132729,82761900
2014-01-01,8.770000,9.080000,8.030000,8.450000,7.835979,96972100
2014-02-01,8.410000,8.460000,7.100000,7.500000,6.955012,74804200
2014-03-01,7.500000,8.050000,7.110000,7.760000,7.196120,85944600
2014-04-01,7.840000,8.290000,7.510000,7.710000,7.149752,85561100
2014-05-01,7.710000,8.110000,7.410000,7.500000,6.955012,79063700
2014-06-01,7.520000,8.100000,7.340000,7.600000,7.118608,87806700
2014-07-01,7.650000,8.900000,7.430000,8.350000,7.821103,118949500
2014-08-01,8.500000,10.570000,8.340000,10.110000,9.469622,150013100
2014-09-01,10.240000,10.360000,9.000000,9.150000,8.570429,117438000
2014-10-01,9.040000,11.180000,8.760000,11.050000,10.350081,183880900
2014-11-01,11.020000,12.420000,10.400000,11.910000,11.155608,133988500
2014-12-01,11.460000,12.390000,10.030000,11.200000,10.490580,274073942
2015-01-01,11.200000,11.800000,9.990000,11.340000,10.621714,126376600
2015-02-01,11.390000,12.750000,10.920000,12.400000,11.614573,78309900
2015-03-01,12.320000,14.360000,12.180000,14.190000,13.291191,170945200
2015-04-01,14.220000,16.650000,14.100000,15.500000,14.518214,110735900
2015-05-01,15.540000,17.230000,15.260000,15.600000,14.611881,256531200
2015-06-01,15.550000,16.940001,15.300000,16.360001,15.491025,158885500
2015-07-01,16.400000,16.400000,14.060000,15.410000,14.591484,144872500
2015-08-01,15.270000,15.900000,13.190000,14.150000,13.398410,124638800
2015-09-01,13.800000,17.559999,13.660000,16.799999,15.907653,231697200
2015-10-01,16.860001,17.260000,13.950000,14.250000,13.493098,430592100
2015-11-01,14.250000,14.600000,12.350000,12.420000,11.760302,191820800
2015-12-01,12.700000,12.980000,11.530000,12.350000,11.694019,156871200
2016-01-01,12.350000,12.350000,8.160000,10.800000,10.226349,254547200
2016-02-01,10.670000,12.200000,9.610000,11.400000,10.794478,176627500
2016-03-01,11.650000,12.850000,10.410000,10.890000,10.311568,153480800
2016-04-01,10.770000,10.770000,8.750000,9.040000,8.559832,77401200
2016-05-01,8.880000,12.900000,8.200000,10.000000,9.468841,243221700
